File: log_2011.12.20 10:40:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:40:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:40:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:41:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:41:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:41:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:42:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:42:34.txt, 거리: 0.5291294000786022
File: log_2011.12.20 10:43:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:43:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:44:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:44:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:44:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:45:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:45:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:45:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:46:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:46:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:46:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:47:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:47:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:48:34.txt, 거리: 0.5069946594840221
File: log_2011.12.20 10:48:54.txt, 거리: 0.600109276307033
File: log_2011.12.20 10:50:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:50:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:51:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:51:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:51:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:52:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:52:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:52:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:53:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:53:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:53:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:55:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:55:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:56:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:56:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:57:14.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:57:54.txt, 거리: 0.6293353295719959
File: log_2011.12.20 10:58:14.txt, 거리: 0.6293353295719959
File: log_2011.12.20 10:59:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:59:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:59:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:00:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:00:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:00:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:01:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:01:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:01:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:02:54.txt, 거리: 0.6178458983214893
File: log_2011.12.20 11:03:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:03:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:04:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:04:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:04:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:05:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:05:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:05:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:06:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:06:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:06:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:07:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:07:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:07:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:08:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:09:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:09:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:10:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:11:54.txt, 거리: 0.5660042879084377
File: log_2011.12.20 11:12:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:12:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:12:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:13:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:13:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:13:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:14:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:14:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:14:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:15:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:15:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:15:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:16:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:16:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:16:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:18:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 11:18:34.txt, 거리: 0.9875781335701138
