File: log_2011.12.19 20:23:21.txt, 거리: 0.2105834420751571
File: log_2011.12.19 20:23:41.txt, 거리: 0.17751113179637756
File: log_2011.12.19 20:24:01.txt, 거리: 0.19273735531179437
File: log_2011.12.19 20:24:21.txt, 거리: 0.2671759093172331
File: log_2011.12.19 20:29:53.txt, 거리: 0.24895458458370134
File: log_2011.12.19 20:30:13.txt, 거리: 0.19474949132331665
File: log_2011.12.19 20:30:33.txt, 거리: 0.3352066190571086
File: log_2011.12.19 20:30:53.txt, 거리: 0.18144206128113693
File: log_2011.12.19 20:31:13.txt, 거리: 0.17516293831640994
File: log_2011.12.19 20:31:33.txt, 거리: 0.20390500247255405
File: log_2011.12.19 20:31:53.txt, 거리: 0.12782828957659043
File: log_2011.12.19 20:32:13.txt, 거리: 0.3005330657853268
File: log_2011.12.19 20:32:33.txt, 거리: 0.2255308625834367
File: log_2011.12.19 20:32:53.txt, 거리: 0.18289738110554987
File: log_2011.12.19 20:33:13.txt, 거리: 0.1976341478781457
File: log_2011.12.19 20:33:33.txt, 거리: 0.3655395603416913
File: log_2011.12.19 20:33:53.txt, 거리: 0.20422360393805594
File: log_2011.12.19 20:34:13.txt, 거리: 0.19734590280130904
File: log_2011.12.19 20:34:33.txt, 거리: 0.24002612903515286
File: log_2011.12.19 20:34:53.txt, 거리: 0.20420329149797656
File: log_2011.12.19 20:35:13.txt, 거리: 0.193330125028356
File: log_2011.12.19 20:35:49.txt, 거리: 0.1771238002725739
File: log_2011.12.19 20:36:09.txt, 거리: 0.23973869131892434
File: log_2011.12.19 20:36:29.txt, 거리: 0.2188278783468497
File: log_2011.12.19 20:36:49.txt, 거리: 0.2555267187625654
File: log_2011.12.19 20:37:09.txt, 거리: 0.2055497898781823
File: log_2011.12.19 20:37:29.txt, 거리: 0.18861425259850229
File: log_2011.12.19 20:37:49.txt, 거리: 0.18401311485089755
File: log_2011.12.19 20:38:09.txt, 거리: 0.18933728911925196
File: log_2011.12.19 20:38:29.txt, 거리: 0.1993704558966901
File: log_2011.12.19 20:38:49.txt, 거리: 0.1952622606104768
File: log_2011.12.19 20:39:09.txt, 거리: 0.20608799873550498
File: log_2011.12.19 20:39:29.txt, 거리: 0.17706592018772727
File: log_2011.12.19 20:39:49.txt, 거리: 0.16570861406351167
File: log_2011.12.19 20:40:09.txt, 거리: 0.23944789153318624
File: log_2011.12.19 20:40:29.txt, 거리: 0.2306574713517281
File: log_2011.12.19 20:40:49.txt, 거리: 0.286255628809289
File: log_2011.12.19 20:41:26.txt, 거리: 0.4481759940568465
File: log_2011.12.19 20:41:46.txt, 거리: 0.20433435471316586
File: log_2011.12.19 20:42:06.txt, 거리: 0.16424988130223872
File: log_2011.12.19 20:42:26.txt, 거리: 0.18777903981975475
File: log_2011.12.19 20:42:46.txt, 거리: 0.18628110077980442
File: log_2011.12.19 20:43:06.txt, 거리: 0.15623554541740214
File: log_2011.12.19 20:43:26.txt, 거리: 0.0816556759360978
File: log_2011.12.19 20:43:46.txt, 거리: 0.2075522085748166
File: log_2011.12.19 20:44:06.txt, 거리: 0.2098825667708455
File: log_2011.12.19 20:44:26.txt, 거리: 0.214036509659553
File: log_2011.12.19 20:44:46.txt, 거리: 0.1968164287863895
File: log_2011.12.19 20:45:06.txt, 거리: 0.28026507780865784
File: log_2011.12.19 20:45:26.txt, 거리: 0.2588359604247541
File: log_2011.12.19 20:45:46.txt, 거리: 0.12732072254270654
File: log_2011.12.19 20:46:06.txt, 거리: 0.2800937835442867
File: log_2011.12.19 20:46:26.txt, 거리: 0.27479994935921737
File: log_2011.12.19 20:46:46.txt, 거리: 0.26837187124550943
File: log_2011.12.19 20:47:06.txt, 거리: 0.27780720417027405
File: log_2011.12.19 20:47:26.txt, 거리: 0.2050577226622633
File: log_2011.12.19 20:47:46.txt, 거리: 0.17993723953949214
File: log_2011.12.19 20:48:06.txt, 거리: 0.20917521459869193
File: log_2011.12.19 20:48:26.txt, 거리: 0.2633962298567185
File: log_2011.12.19 20:48:46.txt, 거리: 0.2514696793327348
File: log_2011.12.19 20:49:06.txt, 거리: 0.26050824808731776
File: log_2011.12.19 20:49:26.txt, 거리: 0.22922559474642157
File: log_2011.12.19 20:49:46.txt, 거리: 0.27595976693250956
File: log_2011.12.19 20:50:06.txt, 거리: 0.2992688050220891
File: log_2011.12.19 20:50:26.txt, 거리: 0.193824624693678
File: log_2011.12.19 20:50:46.txt, 거리: 0.2855076579983591
File: log_2011.12.19 20:51:06.txt, 거리: 0.1782447089919318
File: log_2011.12.19 20:51:26.txt, 거리: 0.08413307099170908
File: log_2011.12.19 20:51:46.txt, 거리: 0.2198069235809702
File: log_2011.12.19 20:52:20.txt, 거리: 0.19225749548783777
File: log_2011.12.19 20:52:40.txt, 거리: 0.16341679943115017
File: log_2011.12.19 20:53:00.txt, 거리: 0.2972798350220649
File: log_2011.12.19 20:53:20.txt, 거리: 0.17225165498933814
File: log_2011.12.19 20:53:40.txt, 거리: 0.17512513707061916
File: log_2011.12.19 20:54:00.txt, 거리: 0.3469551276241545
File: log_2011.12.19 20:54:20.txt, 거리: 0.27018543914070636
File: log_2011.12.19 20:54:40.txt, 거리: 0.188571642911738
File: log_2011.12.19 20:55:00.txt, 거리: 0.2672783586877894
File: log_2011.12.19 20:55:20.txt, 거리: 0.21889432938520637
File: log_2011.12.19 20:55:40.txt, 거리: 0.13494925747263253
File: log_2011.12.19 20:56:00.txt, 거리: 0.5370757610795943
File: log_2011.12.19 20:56:20.txt, 거리: 0.20535471808863648
File: log_2011.12.19 20:56:40.txt, 거리: 0.2752137927271854
File: log_2011.12.19 20:57:00.txt, 거리: 0.26596950043635414
File: log_2011.12.19 20:57:20.txt, 거리: 0.17728038383882272
File: log_2011.12.19 20:57:40.txt, 거리: 0.15052618854070798
File: log_2011.12.19 20:58:00.txt, 거리: 0.5370757610795943
File: log_2011.12.19 20:58:20.txt, 거리: 0.1841486579424595
File: log_2011.12.19 20:58:40.txt, 거리: 0.17045952827851552
File: log_2011.12.19 20:59:00.txt, 거리: 0.21823730254266538
File: log_2011.12.19 20:59:20.txt, 거리: 0.1875100465765479
File: log_2011.12.19 20:59:40.txt, 거리: 0.16447365742323738
File: log_2011.12.19 21:00:00.txt, 거리: 0.5370757610795943
File: log_2011.12.19 21:00:20.txt, 거리: 0.2577692338826777
File: log_2011.12.19 21:00:40.txt, 거리: 0.3393460498473889
File: log_2011.12.19 21:01:27.txt, 거리: 0.18889572252873454
File: log_2011.12.19 21:01:47.txt, 거리: 0.21370579199213813
File: log_2011.12.19 21:02:07.txt, 거리: 0.2068144786927646
File: log_2011.12.19 21:02:27.txt, 거리: 0.15290759976286217
File: log_2011.12.19 21:02:47.txt, 거리: 0.29885222962150293
File: log_2011.12.19 21:03:07.txt, 거리: 0.1804726209923414
File: log_2011.12.19 21:03:27.txt, 거리: 0.19089632610031138
File: log_2011.12.19 21:03:47.txt, 거리: 0.14852139661594776
File: log_2011.12.19 21:04:07.txt, 거리: 0.1999599846031419
File: log_2011.12.19 21:04:27.txt, 거리: 0.24487581422828364
File: log_2011.12.19 21:04:47.txt, 거리: 0.2607315685358953
File: log_2011.12.19 21:05:07.txt, 거리: 0.26848321012668286
File: log_2011.12.19 21:05:27.txt, 거리: 0.19298490902339482
File: log_2011.12.19 21:45:47.txt, 거리: 0.23121073620964605
File: log_2011.12.19 21:46:07.txt, 거리: 0.16541070123835422
File: log_2011.12.19 21:46:27.txt, 거리: 0.13762854490037313
File: log_2011.12.19 21:46:47.txt, 거리: 0.16031941382687065
File: log_2011.12.19 21:47:07.txt, 거리: 0.14063372064795243
File: log_2011.12.19 21:47:27.txt, 거리: 0.15144960362512183
File: log_2011.12.19 21:47:47.txt, 거리: 0.07671651719091666
File: log_2011.12.19 21:48:07.txt, 거리: 0.27533321614208073
File: log_2011.12.19 21:48:27.txt, 거리: 0.2674461851835256
